IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.122.96,2087,2087,true,SIN,Asia Pacific,Singapore,79,10.87
8.222.211.16,8443,8443,true,SIN,Asia Pacific,Singapore,30,10.87
8.222.212.172,8443,8443,true,SIN,Asia Pacific,Singapore,30,10.87
47.236.125.62,2086,2086,false,NRT,Asia Pacific,Tokyo,86,10.87
8.217.250.5,2052,2052,false,HKG,Asia Pacific,Hong Kong,40,10.87
8.219.241.189,2083,2083,true,SIN,Asia Pacific,Singapore,199,10.87
8.219.215.214,2083,2083,true,SIN,Asia Pacific,Singapore,120,10.87
8.219.174.213,8443,8443,true,SIN,Asia Pacific,Singapore,57,10.87
8.219.70.151,443,443,true,SIN,Asia Pacific,Singapore,137,10.86
47.236.104.98,443,443,true,SIN,Asia Pacific,Singapore,92,10.86
8.222.255.15,2052,2052,false,SIN,Asia Pacific,Singapore,5,10.86
8.219.84.214,2095,2095,false,SIN,Asia Pacific,Singapore,38,10.85
8.217.159.210,80,80,false,HKG,Asia Pacific,Hong Kong,64,10.85
8.222.212.219,2086,2086,false,SIN,Asia Pacific,Singapore,9,10.84
47.236.116.182,2087,2087,true,SIN,Asia Pacific,Singapore,119,10.82
47.245.93.74,2086,2086,false,SIN,Asia Pacific,Singapore,5,10.81
47.236.172.95,80,80,false,SIN,Asia Pacific,Singapore,17,10.81
8.219.66.156,2095,2095,false,NRT,Asia Pacific,Tokyo,74,10.80
8.219.170.223,2083,2083,true,SIN,Asia Pacific,Singapore,46,10.80
8.222.221.90,443,443,true,SIN,Asia Pacific,Singapore,49,10.80
8.222.197.251,443,443,true,SIN,Asia Pacific,Singapore,71,10.80
8.218.126.53,2095,2095,false,HKG,Asia Pacific,Hong Kong,80,10.80
8.218.174.118,80,80,false,HKG,Asia Pacific,Hong Kong,37,10.79
47.236.150.13,8880,8880,false,SIN,Asia Pacific,Singapore,9,10.78
8.219.103.65,2086,2086,false,SIN,Asia Pacific,Singapore,7,10.78
47.236.144.196,2095,2095,false,SIN,Asia Pacific,Singapore,14,10.78
8.219.141.174,443,443,true,SIN,Asia Pacific,Singapore,58,10.78
8.222.184.198,8080,8080,false,SIN,Asia Pacific,Singapore,22,10.78
8.222.174.108,2086,2086,false,SIN,Asia Pacific,Singapore,6,10.77
47.236.158.158,2082,2082,false,SIN,Asia Pacific,Singapore,18,10.77
47.236.169.164,2082,2082,false,SIN,Asia Pacific,Singapore,17,10.77
8.222.208.38,8880,8880,false,SIN,Asia Pacific,Singapore,90,10.76
8.222.213.221,2082,2082,false,SIN,Asia Pacific,Singapore,12,10.76
47.236.125.62,2096,2096,true,NRT,Asia Pacific,Tokyo,146,10.76
47.251.74.226,443,443,true,LAX,North America,Los Angeles,182,10.76
8.222.219.34,8443,8443,true,SIN,Asia Pacific,Singapore,90,10.75
8.219.201.245,8443,8443,true,SIN,Asia Pacific,Singapore,90,10.75
8.218.126.53,2083,2083,true,HKG,Asia Pacific,Hong Kong,130,10.75
8.219.175.127,2095,2095,false,SIN,Asia Pacific,Singapore,12,10.75
8.217.251.62,2095,2095,false,HKG,Asia Pacific,Hong Kong,40,10.74
8.219.159.232,2053,2053,true,SIN,Asia Pacific,Singapore,144,10.74
8.219.198.139,443,443,true,SIN,Asia Pacific,Singapore,108,10.74
8.219.104.242,2083,2083,true,SIN,Asia Pacific,Singapore,64,10.74
8.219.1.92,2053,2053,true,SIN,Asia Pacific,Singapore,66,10.73
8.219.175.127,2082,2082,false,SIN,Asia Pacific,Singapore,8,10.73
47.236.169.15,80,80,false,SIN,Asia Pacific,Singapore,16,10.73
47.236.169.15,2086,2086,false,SIN,Asia Pacific,Singapore,26,10.73
47.254.66.75,80,443,true,SJC,North America,San Jose,176,10.73
8.219.40.255,2053,2053,true,SIN,Asia Pacific,Singapore,77,10.72
47.242.59.216,2086,2086,false,HKG,Asia Pacific,Hong Kong,49,10.72
8.218.207.169,8880,8880,false,HKG,Asia Pacific,Hong Kong,67,10.72
8.222.219.34,2096,2096,true,SIN,Asia Pacific,Singapore,57,10.72
47.236.254.120,8880,8880,false,SIN,Asia Pacific,Singapore,15,10.71
8.219.200.145,2082,2082,false,SIN,Asia Pacific,Singapore,10,10.71
8.219.188.162,2083,2083,true,SIN,Asia Pacific,Singapore,57,10.71
8.218.127.249,2096,2096,true,HKG,Asia Pacific,Hong Kong,73,10.70
8.219.97.179,443,443,true,SIN,Asia Pacific,Singapore,136,10.70
8.222.214.13,8080,8080,false,SIN,Asia Pacific,Singapore,23,10.70
8.219.248.47,2096,2096,true,SIN,Asia Pacific,Singapore,122,10.70
8.210.156.6,2083,2083,true,HKG,Asia Pacific,Hong Kong,70,10.69
8.219.188.162,8080,8080,false,SIN,Asia Pacific,Singapore,5,10.69
8.219.5.10,2087,2087,true,SIN,Asia Pacific,Singapore,83,10.68
8.218.181.189,2086,2086,false,HKG,Asia Pacific,Hong Kong,36,10.68
8.219.206.180,2096,2096,true,SIN,Asia Pacific,Singapore,149,10.67
8.222.214.13,2096,2096,true,SIN,Asia Pacific,Singapore,61,10.67
8.219.86.200,2053,2053,true,SIN,Asia Pacific,Singapore,97,10.67
47.236.164.215,8080,8080,false,SIN,Asia Pacific,Singapore,8,10.67
47.236.121.7,2096,2096,true,SIN,Asia Pacific,Singapore,97,10.67
47.237.8.82,2087,2087,true,SIN,Asia Pacific,Singapore,115,10.66
8.219.220.88,2096,2096,true,SIN,Asia Pacific,Singapore,93,10.66
8.218.11.90,2083,2083,true,HKG,Asia Pacific,Hong Kong,77,10.66
8.219.242.208,8880,8880,false,SIN,Asia Pacific,Singapore,37,10.66
8.218.158.94,2052,2052,false,HKG,Asia Pacific,Hong Kong,63,10.66
47.245.105.224,2052,2052,false,SIN,Asia Pacific,Singapore,13,10.66
8.219.163.195,8443,8443,true,SIN,Asia Pacific,Singapore,81,10.66
8.222.187.4,2082,2082,false,SIN,Asia Pacific,Singapore,17,10.66
47.236.202.91,2082,2082,false,SIN,Asia Pacific,Singapore,13,10.65
8.222.222.64,2086,2086,false,SIN,Asia Pacific,Singapore,7,10.65
8.219.222.98,2096,2096,true,SIN,Asia Pacific,Singapore,189,10.64
8.218.85.128,2096,2096,true,HKG,Asia Pacific,Hong Kong,73,10.64
47.236.125.62,8880,8880,false,NRT,Asia Pacific,Tokyo,112,10.64
47.236.87.246,2053,2053,true,SIN,Asia Pacific,Singapore,73,10.63
8.219.186.189,2095,2095,false,SIN,Asia Pacific,Singapore,30,10.63
47.242.176.237,8080,8080,false,HKG,Asia Pacific,Hong Kong,52,10.63
8.222.222.64,2086,2086,false,SIN,Asia Pacific,Singapore,4,10.63
8.219.240.160,2096,2096,true,SIN,Asia Pacific,Singapore,90,10.61
8.219.40.255,2082,2082,false,SIN,Asia Pacific,Singapore,8,10.61
8.222.184.198,2086,2086,false,SIN,Asia Pacific,Singapore,14,10.60
8.222.221.86,2087,2087,true,SIN,Asia Pacific,Singapore,60,10.60
8.217.250.222,2096,2096,true,HKG,Asia Pacific,Hong Kong,78,10.60
8.219.40.255,2052,2052,false,SIN,Asia Pacific,Singapore,27,10.60
8.222.226.15,2083,2083,true,SIN,Asia Pacific,Singapore,89,10.60
47.236.158.158,2087,2087,true,SIN,Asia Pacific,Singapore,85,10.59
8.219.202.130,8880,8880,false,SIN,Asia Pacific,Singapore,14,10.59
8.218.204.128,2053,2053,true,HKG,Asia Pacific,Hong Kong,71,10.59
8.217.250.5,2082,2082,false,HKG,Asia Pacific,Hong Kong,40,10.58
8.222.144.50,2095,2095,false,SIN,Asia Pacific,Singapore,9,10.58
8.222.222.64,2082,2082,false,SIN,Asia Pacific,Singapore,45,10.57
