IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.104.11,2083,2083,true,SIN,Asia Pacific,Singapore,78,11.05
8.219.213.112,2053,2053,true,SIN,Asia Pacific,Singapore,54,11.05
47.91.31.231,2087,2087,true,NRT,Asia Pacific,Tokyo,341,11.05
8.219.124.227,8880,8880,false,SIN,Asia Pacific,Singapore,8,11.05
8.219.248.47,2095,2095,false,SIN,Asia Pacific,Singapore,5,11.05
47.236.144.48,8880,8880,false,SIN,Asia Pacific,Singapore,66,11.05
47.236.125.62,8080,8080,false,NRT,Asia Pacific,Tokyo,98,11.04
8.219.161.129,8443,8443,true,SIN,Asia Pacific,Singapore,145,11.02
8.219.84.102,2083,2083,true,SIN,Asia Pacific,Singapore,84,11.02
47.243.173.187,8443,8443,true,HKG,Asia Pacific,Hong Kong,81,11.01
47.236.168.17,2083,2083,true,SIN,Asia Pacific,Singapore,88,11.01
8.222.164.209,8080,8080,false,SIN,Asia Pacific,Singapore,15,11.01
8.219.188.162,2095,2095,false,SIN,Asia Pacific,Singapore,41,10.99
8.219.122.55,2095,2095,false,SIN,Asia Pacific,Singapore,31,10.99
8.217.91.121,2083,2083,true,HKG,Asia Pacific,Hong Kong,37,10.99
8.219.167.65,2087,2087,true,SIN,Asia Pacific,Singapore,122,10.98
8.219.13.143,2083,2083,true,SIN,Asia Pacific,Singapore,4,10.98
8.219.6.157,2096,2096,true,SIN,Asia Pacific,Singapore,4,10.98
8.222.128.131,443,443,true,SIN,Asia Pacific,Singapore,157,10.97
47.236.104.98,2052,2052,false,SIN,Asia Pacific,Singapore,29,10.97
47.243.162.49,2095,2095,false,HKG,Asia Pacific,Hong Kong,46,10.97
8.219.61.52,8443,8443,true,SIN,Asia Pacific,Singapore,106,10.95
8.219.229.190,2082,2082,false,SIN,Asia Pacific,Singapore,6,10.95
8.219.110.88,2095,2095,false,SIN,Asia Pacific,Singapore,25,10.94
47.236.144.196,2096,2096,true,SIN,Asia Pacific,Singapore,57,10.94
8.219.82.35,8443,8443,true,SIN,Asia Pacific,Singapore,108,10.94
47.74.37.50,2095,2095,false,NRT,Asia Pacific,Tokyo,298,10.93
8.219.106.15,2087,2087,true,SIN,Asia Pacific,Singapore,116,10.93
8.219.1.92,80,80,false,HKG,Asia Pacific,Hong Kong,36,10.92
8.219.107.135,8880,8880,false,SIN,Asia Pacific,Singapore,38,10.92
47.236.97.90,2086,2086,false,SIN,Asia Pacific,Singapore,34,10.92
8.219.174.213,2052,2052,false,SIN,Asia Pacific,Singapore,7,10.92
8.222.174.108,8443,8443,true,SIN,Asia Pacific,Singapore,65,10.92
8.222.202.163,2053,2053,true,SIN,Asia Pacific,Singapore,82,10.91
8.219.201.245,8880,8880,false,HKG,Asia Pacific,Hong Kong,51,10.91
8.219.106.15,2052,2052,false,SIN,Asia Pacific,Singapore,29,10.90
8.222.137.192,8080,8080,false,SIN,Asia Pacific,Singapore,6,10.90
8.210.21.65,2087,2087,true,HKG,Asia Pacific,Hong Kong,174,10.89
8.219.152.195,2053,2053,true,SIN,Asia Pacific,Singapore,98,10.89
8.219.6.157,2053,2053,true,SIN,Asia Pacific,Singapore,4,10.89
8.219.60.68,2087,2087,true,SIN,Asia Pacific,Singapore,3,10.89
8.219.141.174,2096,2096,true,SIN,Asia Pacific,Singapore,108,10.88
8.210.107.246,2086,2086,false,HKG,Asia Pacific,Hong Kong,44,10.88
8.219.193.202,443,443,true,SIN,Asia Pacific,Singapore,38,10.87
