IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.116.181.67,443,443,true,FRA,Europe,Frankfurt,267,5.37
34.116.196.218,443,443,true,FRA,Europe,Frankfurt,269,5.37
34.116.156.226,443,443,true,FRA,Europe,Frankfurt,266,5.36
34.118.41.156,443,443,true,FRA,Europe,Frankfurt,319,5.36
34.118.54.237,443,443,true,FRA,Europe,Frankfurt,267,5.36
34.118.37.55,443,443,true,FRA,Europe,Frankfurt,318,5.35
34.116.153.230,443,443,true,FRA,Europe,Frankfurt,274,5.35
34.116.142.89,443,443,true,FRA,Europe,Frankfurt,268,5.35
34.65.193.225,443,443,true,FRA,Europe,Frankfurt,258,5.35
34.118.117.182,443,443,true,FRA,Europe,Frankfurt,268,5.35
34.118.11.48,443,443,true,FRA,Europe,Frankfurt,344,5.34
34.118.64.153,443,443,true,FRA,Europe,Frankfurt,281,5.34
34.116.255.222,443,443,true,FRA,Europe,Frankfurt,271,5.33
34.116.210.146,443,443,true,FRA,Europe,Frankfurt,269,5.33
34.116.156.171,443,443,true,FRA,Europe,Frankfurt,320,5.33
34.118.105.216,443,443,true,FRA,Europe,Frankfurt,266,5.32
34.116.200.243,443,443,true,FRA,Europe,Frankfurt,267,5.32
34.116.235.211,443,443,true,FRA,Europe,Frankfurt,341,5.32
34.118.105.92,443,443,true,FRA,Europe,Frankfurt,266,5.31
34.118.40.210,443,443,true,FRA,Europe,Frankfurt,270,5.31
34.118.77.243,443,443,true,FRA,Europe,Frankfurt,274,5.31
34.116.134.144,443,443,true,FRA,Europe,Frankfurt,269,5.31
34.116.243.55,443,443,true,FRA,Europe,Frankfurt,351,5.31
34.118.37.55,443,443,true,FRA,Europe,Frankfurt,303,5.31
34.118.15.29,443,443,true,FRA,Europe,Frankfurt,314,5.30
34.118.119.46,443,443,true,FRA,Europe,Frankfurt,269,5.30
34.118.103.198,443,443,true,FRA,Europe,Frankfurt,267,5.30
34.116.152.212,443,443,true,FRA,Europe,Frankfurt,461,5.30
34.118.52.240,443,443,true,FRA,Europe,Frankfurt,267,5.29
34.116.200.243,443,443,true,FRA,Europe,Frankfurt,331,5.29
34.116.141.3,443,443,true,FRA,Europe,Frankfurt,266,5.29
34.107.124.144,443,443,true,FRA,Europe,Frankfurt,290,5.29
34.116.157.41,443,443,true,FRA,Europe,Frankfurt,267,5.29
34.116.206.140,443,443,true,FRA,Europe,Frankfurt,325,5.29
34.116.245.40,443,443,true,FRA,Europe,Frankfurt,381,5.28
34.116.239.87,443,443,true,FRA,Europe,Frankfurt,275,5.28
34.116.190.16,443,443,true,FRA,Europe,Frankfurt,303,5.27
34.116.247.197,443,443,true,FRA,Europe,Frankfurt,321,5.26
34.116.221.100,443,443,true,FRA,Europe,Frankfurt,312,5.26
34.116.158.196,443,443,true,FRA,Europe,Frankfurt,288,5.26
34.118.31.28,443,443,true,FRA,Europe,Frankfurt,268,5.25
34.116.158.196,443,443,true,FRA,Europe,Frankfurt,267,5.25
34.116.238.191,443,443,true,FRA,Europe,Frankfurt,305,5.25
34.116.239.18,443,443,true,FRA,Europe,Frankfurt,361,5.24
34.116.159.95,443,443,true,FRA,Europe,Frankfurt,272,5.23
34.116.205.19,443,443,true,FRA,Europe,Frankfurt,339,5.21
34.116.198.118,443,443,true,FRA,Europe,Frankfurt,293,5.20
34.116.153.230,443,443,true,FRA,Europe,Frankfurt,330,5.20
34.118.40.155,443,443,true,FRA,Europe,Frankfurt,346,5.18
34.116.141.115,443,443,true,FRA,Europe,Frankfurt,339,5.18
34.116.141.3,443,443,true,FRA,Europe,Frankfurt,322,5.18
34.118.52.240,443,443,true,FRA,Europe,Frankfurt,308,5.17
34.116.245.40,443,443,true,FRA,Europe,Frankfurt,268,5.16
34.118.78.222,443,443,true,FRA,Europe,Frankfurt,268,5.16
34.118.42.177,443,443,true,FRA,Europe,Frankfurt,269,5.16
34.116.132.57,443,443,true,FRA,Europe,Frankfurt,272,5.16
34.116.239.87,443,443,true,FRA,Europe,Frankfurt,354,5.16
34.118.33.236,443,443,true,FRA,Europe,Frankfurt,274,5.15
34.116.142.89,443,443,true,FRA,Europe,Frankfurt,327,5.15
34.118.39.4,443,443,true,FRA,Europe,Frankfurt,268,5.15
34.118.82.162,443,443,true,FRA,Europe,Frankfurt,270,5.14
34.116.244.240,443,443,true,FRA,Europe,Frankfurt,357,5.13
34.116.243.55,443,443,true,FRA,Europe,Frankfurt,268,5.13
34.116.167.147,443,443,true,FRA,Europe,Frankfurt,272,5.13
34.116.181.67,443,443,true,FRA,Europe,Frankfurt,322,5.13
34.116.134.144,443,443,true,FRA,Europe,Frankfurt,300,5.11
34.116.143.136,443,443,true,FRA,Europe,Frankfurt,334,5.10
34.116.221.100,443,443,true,FRA,Europe,Frankfurt,268,5.09
34.116.206.109,443,443,true,FRA,Europe,Frankfurt,340,5.09
34.116.196.218,443,443,true,FRA,Europe,Frankfurt,312,5.09
34.116.238.191,443,443,true,FRA,Europe,Frankfurt,267,5.08
34.116.239.18,443,443,true,FRA,Europe,Frankfurt,267,5.07
34.118.11.48,443,443,true,FRA,Europe,Frankfurt,269,5.07
34.116.198.118,443,443,true,FRA,Europe,Frankfurt,276,5.06
34.116.210.146,443,443,true,FRA,Europe,Frankfurt,331,5.06
34.118.31.28,443,443,true,FRA,Europe,Frankfurt,340,5.05
34.118.53.102,443,443,true,FRA,Europe,Frankfurt,268,5.04
34.118.54.237,443,443,true,FRA,Europe,Frankfurt,318,5.03
34.116.235.211,443,443,true,FRA,Europe,Frankfurt,300,5.03
34.118.21.109,443,443,true,FRA,Europe,Frankfurt,286,5.02
34.116.206.109,443,443,true,FRA,Europe,Frankfurt,269,5.01
34.118.39.4,443,443,true,FRA,Europe,Frankfurt,341,4.99
34.116.171.235,443,443,true,FRA,Europe,Frankfurt,272,4.93
34.118.111.34,443,443,true,FRA,Europe,Frankfurt,268,4.92
34.118.40.155,443,443,true,FRA,Europe,Frankfurt,292,4.92
34.116.159.95,443,443,true,FRA,Europe,Frankfurt,321,4.92
34.118.33.236,443,443,true,FRA,Europe,Frankfurt,328,4.91
34.116.156.226,443,443,true,FRA,Europe,Frankfurt,337,4.89
34.118.21.109,443,443,true,FRA,Europe,Frankfurt,304,4.86
34.118.15.29,443,443,true,FRA,Europe,Frankfurt,266,4.85
34.116.248.189,443,443,true,FRA,Europe,Frankfurt,268,4.85
34.65.118.112,443,443,true,FRA,Europe,Frankfurt,263,4.82
34.65.178.56,443,443,true,FRA,Europe,Frankfurt,251,4.73
34.118.75.84,443,443,true,FRA,Europe,Frankfurt,287,4.73
34.65.125.9,443,443,true,FRA,Europe,Frankfurt,263,4.61
34.65.127.158,443,443,true,FRA,Europe,Frankfurt,253,3.40
34.65.178.56,443,443,true,FRA,Europe,Frankfurt,252,3.33
34.91.188.157,443,443,true,FRA,Europe,Frankfurt,311,3.30
34.65.221.238,443,443,true,FRA,Europe,Frankfurt,256,3.26
34.65.211.97,443,443,true,FRA,Europe,Frankfurt,252,3.21
34.65.164.235,443,443,true,FRA,Europe,Frankfurt,250,3.17
34.65.115.78,443,443,true,FRA,Europe,Frankfurt,258,3.13
34.65.7.63,443,443,true,FRA,Europe,Frankfurt,254,3.11
34.65.177.1,443,443,true,FRA,Europe,Frankfurt,251,3.09
34.65.220.67,443,443,true,FRA,Europe,Frankfurt,254,3.04
35.246.247.95,443,443,true,FRA,Europe,Frankfurt,253,2.99
34.65.30.161,443,443,true,FRA,Europe,Frankfurt,266,2.98
34.65.204.120,443,443,true,FRA,Europe,Frankfurt,252,2.91
34.65.122.235,443,443,true,FRA,Europe,Frankfurt,271,2.91
34.65.202.78,443,443,true,FRA,Europe,Frankfurt,252,2.88
34.65.206.244,443,443,true,FRA,Europe,Frankfurt,270,2.88
34.65.211.97,443,443,true,FRA,Europe,Frankfurt,258,2.85
34.65.86.132,443,443,true,FRA,Europe,Frankfurt,254,2.81
34.65.239.218,443,443,true,FRA,Europe,Frankfurt,260,2.74
34.65.11.153,443,443,true,FRA,Europe,Frankfurt,267,2.71
34.65.77.172,443,443,true,FRA,Europe,Frankfurt,250,2.60
34.175.7.231,2082,80,false,MAD,Europe,Madrid,184,2.58
34.175.7.231,2087,80,false,MAD,Europe,Madrid,184,2.58
34.65.223.113,443,443,true,FRA,Europe,Frankfurt,251,2.57
34.140.239.154,2087,80,false,CDG,Europe,Paris,183,2.49
34.65.184.228,443,443,true,FRA,Europe,Frankfurt,253,2.48
34.140.239.154,2053,80,false,CDG,Europe,Paris,182,2.48
35.229.161.32,443,443,true,TPE,Asia Pacific,Taipei,44,2.47
34.140.239.154,2082,80,false,CDG,Europe,Paris,183,2.46
34.175.133.251,2086,80,false,MAD,Europe,Madrid,186,2.45
34.65.221.238,443,443,true,FRA,Europe,Frankfurt,255,2.45
34.175.244.157,2087,80,false,MAD,Europe,Madrid,182,2.44
34.65.204.207,443,443,true,FRA,Europe,Frankfurt,253,2.42
34.175.133.251,2096,80,false,MAD,Europe,Madrid,186,2.40
34.175.133.251,2087,80,false,MAD,Europe,Madrid,186,2.40
34.175.133.251,2052,80,false,MAD,Europe,Madrid,185,2.38
34.175.133.251,2082,80,false,MAD,Europe,Madrid,182,2.37
34.175.133.251,2053,80,false,MAD,Europe,Madrid,186,2.37
34.175.133.251,2083,80,false,MAD,Europe,Madrid,186,2.36
34.175.99.73,2096,80,false,MAD,Europe,Madrid,183,2.35
34.140.239.154,2086,80,false,CDG,Europe,Paris,187,2.35
34.175.99.73,2095,80,false,MAD,Europe,Madrid,183,2.34
34.175.99.73,2082,80,false,MAD,Europe,Madrid,184,2.34
34.147.101.117,2087,80,false,AMS,Europe,Amsterdam,190,2.33
34.175.244.157,2086,80,false,MAD,Europe,Madrid,187,2.32
34.175.95.58,2052,80,false,MAD,Europe,Madrid,183,2.31
34.65.196.70,443,443,true,FRA,Europe,Frankfurt,254,2.31
34.65.59.245,443,443,true,FRA,Europe,Frankfurt,252,2.30
34.175.95.58,2095,80,false,MAD,Europe,Madrid,182,2.29
34.175.95.58,2086,80,false,MAD,Europe,Madrid,186,2.28
34.65.180.77,443,443,true,FRA,Europe,Frankfurt,253,2.27
34.140.239.154,2096,80,false,CDG,Europe,Paris,187,2.25
34.175.244.157,2052,80,false,MAD,Europe,Madrid,182,2.24
34.65.11.153,443,443,true,FRA,Europe,Frankfurt,250,2.22
34.140.239.154,2083,80,false,CDG,Europe,Paris,182,2.21
34.140.239.154,2052,80,false,CDG,Europe,Paris,182,2.21
34.65.202.78,443,443,true,FRA,Europe,Frankfurt,251,2.19
34.140.239.154,2095,80,false,CDG,Europe,Paris,183,2.19
34.175.95.58,2053,80,false,MAD,Europe,Madrid,183,2.18
34.65.127.158,443,443,true,FRA,Europe,Frankfurt,252,2.18
34.175.244.157,2096,80,false,MAD,Europe,Madrid,183,2.18
34.175.7.231,2053,80,false,MAD,Europe,Madrid,186,2.17
34.147.101.117,2082,80,false,AMS,Europe,Amsterdam,190,2.17
34.175.99.73,2086,80,false,MAD,Europe,Madrid,185,2.16
34.65.18.221,443,443,true,FRA,Europe,Frankfurt,258,2.16
34.147.101.117,2052,80,false,AMS,Europe,Amsterdam,190,2.16
34.175.133.251,2095,80,false,MAD,Europe,Madrid,183,2.16
34.65.193.70,443,443,true,FRA,Europe,Frankfurt,273,2.15
34.175.244.157,2083,80,false,MAD,Europe,Madrid,192,2.15
34.147.101.117,2095,80,false,AMS,Europe,Amsterdam,190,2.15
34.175.244.157,2082,80,false,MAD,Europe,Madrid,182,2.15
34.65.193.225,443,443,true,FRA,Europe,Frankfurt,277,2.15
34.175.95.58,2096,80,false,MAD,Europe,Madrid,183,2.15
34.147.101.117,2086,80,false,AMS,Europe,Amsterdam,190,2.15
34.65.204.207,443,443,true,FRA,Europe,Frankfurt,252,2.14
34.175.99.73,2052,80,false,MAD,Europe,Madrid,185,2.14
34.175.7.231,2052,80,false,MAD,Europe,Madrid,189,2.14
34.65.164.235,443,443,true,FRA,Europe,Frankfurt,260,2.13
34.65.193.225,443,443,true,FRA,Europe,Frankfurt,252,2.13
34.147.101.117,2083,80,false,AMS,Europe,Amsterdam,195,2.13
34.147.101.117,2096,80,false,AMS,Europe,Amsterdam,190,2.13
34.175.244.157,2095,80,false,MAD,Europe,Madrid,186,2.12
34.147.101.117,2053,80,false,AMS,Europe,Amsterdam,189,2.11
34.65.59.245,443,443,true,FRA,Europe,Frankfurt,251,2.10
34.175.244.157,2053,80,false,MAD,Europe,Madrid,183,2.10
34.175.95.58,2082,80,false,MAD,Europe,Madrid,183,2.09
34.65.168.45,443,443,true,FRA,Europe,Frankfurt,251,2.08
34.65.220.67,443,443,true,FRA,Europe,Frankfurt,261,2.08
34.175.143.15,2095,80,false,MAD,Europe,Madrid,183,2.06
34.65.138.12,443,443,true,FRA,Europe,Frankfurt,260,2.06
34.65.217.76,443,443,true,FRA,Europe,Frankfurt,251,2.05
34.65.125.9,443,443,true,FRA,Europe,Frankfurt,251,2.04
34.65.208.108,443,443,true,FRA,Europe,Frankfurt,259,2.00
34.175.95.58,2087,80,false,MAD,Europe,Madrid,184,2.00
34.65.204.120,443,443,true,FRA,Europe,Frankfurt,279,1.97
34.147.82.194,2053,80,false,AMS,Europe,Amsterdam,190,1.96
34.65.206.244,443,443,true,FRA,Europe,Frankfurt,260,1.95
34.65.177.1,443,443,true,FRA,Europe,Frankfurt,257,1.91
34.65.68.41,443,443,true,FRA,Europe,Frankfurt,258,1.90
34.65.184.228,443,443,true,FRA,Europe,Frankfurt,251,1.88
34.65.235.187,443,443,true,FRA,Europe,Frankfurt,254,1.84
34.65.122.235,443,443,true,FRA,Europe,Frankfurt,252,1.81
34.65.189.65,443,443,true,FRA,Europe,Frankfurt,251,1.73
34.65.217.76,443,443,true,FRA,Europe,Frankfurt,282,1.63
34.65.86.132,443,443,true,FRA,Europe,Frankfurt,268,1.63
34.65.115.78,443,443,true,FRA,Europe,Frankfurt,276,1.56
34.65.184.228,443,443,true,FRA,Europe,Frankfurt,263,1.46
34.65.86.132,443,443,true,FRA,Europe,Frankfurt,260,1.43
34.65.204.120,443,443,true,FRA,Europe,Frankfurt,251,1.37
34.65.180.77,443,443,true,FRA,Europe,Frankfurt,272,1.26
34.65.30.161,443,443,true,FRA,Europe,Frankfurt,255,1.26
34.65.202.78,443,443,true,FRA,Europe,Frankfurt,278,1.25
34.65.213.174,443,443,true,FRA,Europe,Frankfurt,256,1.25
34.65.211.97,443,443,true,AMS,Europe,Amsterdam,270,1.25
34.65.18.221,443,443,true,FRA,Europe,Frankfurt,253,1.21
34.65.196.70,443,443,true,FRA,Europe,Frankfurt,254,1.20
34.65.239.218,443,443,true,FRA,Europe,Frankfurt,267,1.20
34.65.19.230,443,443,true,FRA,Europe,Frankfurt,250,1.15
34.65.138.12,443,443,true,FRA,Europe,Frankfurt,257,1.12
34.65.220.67,443,443,true,FRA,Europe,Frankfurt,260,1.11
34.65.115.78,443,443,true,FRA,Europe,Frankfurt,261,1.05
34.65.208.108,443,443,true,FRA,Europe,Frankfurt,262,1.05
34.65.77.172,443,443,true,FRA,Europe,Frankfurt,251,1.02
34.65.77.172,443,443,true,FRA,Europe,Frankfurt,258,0.99
34.65.19.230,443,443,true,FRA,Europe,Frankfurt,251,0.97
34.65.254.136,443,443,true,FRA,Europe,Frankfurt,301,0.94
34.118.7.118,443,443,true,FRA,Europe,Frankfurt,287,0.94
35.230.174.208,443,443,true,IAD,North America,Ashburn,214,0.87
34.65.127.158,443,443,true,FRA,Europe,Frankfurt,277,0.87
34.65.203.39,443,443,true,FRA,Europe,Frankfurt,305,0.85
34.66.72.229,443,443,true,ORD,North America,Chicago,205,0.81
34.159.126.157,443,443,true,FRA,Europe,Frankfurt,299,0.78
34.107.56.17,443,443,true,FRA,Europe,Frankfurt,297,0.73
34.65.235.187,443,443,true,FRA,Europe,Frankfurt,266,0.70
34.116.219.165,443,443,true,FRA,Europe,Frankfurt,383,0.70
34.65.164.235,443,443,true,FRA,Europe,Frankfurt,269,0.68
35.242.242.5,443,443,true,FRA,Europe,Frankfurt,327,0.65
34.65.178.56,443,443,true,FRA,Europe,Frankfurt,258,0.63
35.199.27.229,443,443,true,IAD,North America,Ashburn,214,0.61
34.32.179.95,443,443,true,FRA,Europe,Frankfurt,305,0.59
34.65.213.174,443,443,true,FRA,Europe,Frankfurt,255,0.58
34.154.121.70,443,443,true,FRA,Europe,Frankfurt,293,0.58
34.65.223.113,443,443,true,FRA,Europe,Frankfurt,280,0.58
34.65.30.161,443,443,true,FRA,Europe,Frankfurt,258,0.58
34.65.206.244,443,443,true,FRA,Europe,Frankfurt,280,0.56
34.85.181.206,443,443,true,IAD,North America,Ashburn,298,0.56
34.65.177.1,443,443,true,FRA,Europe,Frankfurt,275,0.56
34.32.255.76,443,443,true,FRA,Europe,Frankfurt,294,0.50
34.32.179.95,443,443,true,FRA,Europe,Frankfurt,305,0.46
34.65.68.41,443,443,true,FRA,Europe,Frankfurt,264,0.46
34.65.189.65,443,443,true,FRA,Europe,Frankfurt,265,0.44
34.65.168.45,443,443,true,FRA,Europe,Frankfurt,277,0.43
34.154.103.44,443,443,true,FRA,Europe,Frankfurt,294,0.43
34.65.221.238,443,443,true,FRA,Europe,Frankfurt,334,0.40
34.154.93.214,443,443,true,FRA,Europe,Frankfurt,297,0.38
35.200.238.235,443,443,true,BOM,Asia Pacific,Mumbai,253,0.38
34.159.51.38,443,443,true,FRA,Europe,Frankfurt,215,0.37
34.85.181.206,443,443,true,IAD,North America,Ashburn,212,0.37
34.32.235.34,443,443,true,FRA,Europe,Frankfurt,276,0.37
34.85.181.206,443,443,true,IAD,North America,Ashburn,212,0.36
35.200.238.235,443,443,true,BOM,Asia Pacific,Mumbai,166,0.35
35.204.220.58,443,443,true,FRA,Europe,Frankfurt,300,0.32
34.65.151.47,443,443,true,FRA,Europe,Frankfurt,304,0.32
34.116.167.231,443,443,true,FRA,Europe,Frankfurt,293,0.32
34.154.134.203,443,443,true,FRA,Europe,Frankfurt,261,0.28
34.91.188.157,443,443,true,FRA,Europe,Frankfurt,290,0.27
34.154.186.32,443,443,true,FRA,Europe,Frankfurt,213,0.26
34.65.150.119,443,443,true,FRA,Europe,Frankfurt,271,0.24
34.89.180.110,443,443,true,FRA,Europe,Frankfurt,305,0.22
34.154.153.197,443,443,true,FRA,Europe,Frankfurt,270,0.21
34.118.20.24,443,443,true,FRA,Europe,Frankfurt,315,0.21
34.32.220.33,443,443,true,FRA,Europe,Frankfurt,292,0.20
34.91.67.64,443,443,true,FRA,Europe,Frankfurt,315,0.20
34.116.249.57,443,443,true,FRA,Europe,Frankfurt,407,0.20
34.65.233.74,443,443,true,FRA,Europe,Frankfurt,299,0.19
34.34.6.210,443,443,true,FRA,Europe,Frankfurt,342,0.17
34.65.97.237,443,443,true,FRA,Europe,Frankfurt,303,0.16
34.159.131.159,443,443,true,FRA,Europe,Frankfurt,303,0.15
34.107.42.64,443,443,true,FRA,Europe,Frankfurt,314,0.15
34.107.56.17,443,443,true,FRA,Europe,Frankfurt,368,0.14
34.32.220.33,443,443,true,FRA,Europe,Frankfurt,305,0.13
34.118.89.180,443,443,true,FRA,Europe,Frankfurt,316,0.13
34.107.42.64,443,443,true,FRA,Europe,Frankfurt,311,0.13
34.65.227.233,443,443,true,FRA,Europe,Frankfurt,314,0.12
34.118.99.192,443,443,true,FRA,Europe,Frankfurt,316,0.11
34.65.203.39,443,443,true,FRA,Europe,Frankfurt,317,0.11
34.90.29.225,443,443,true,FRA,Europe,Frankfurt,316,0.10
34.65.151.47,443,443,true,FRA,Europe,Frankfurt,289,0.10
34.154.149.151,443,443,true,FRA,Europe,Frankfurt,293,0.09
34.118.121.235,443,443,true,FRA,Europe,Frankfurt,241,0.09
34.89.255.52,443,443,true,FRA,Europe,Frankfurt,307,0.08
34.118.61.214,443,443,true,FRA,Europe,Frankfurt,335,0.07
34.91.188.157,443,443,true,FRA,Europe,Frankfurt,288,0.06
34.118.126.123,443,443,true,FRA,Europe,Frankfurt,316,0.06
34.116.219.165,443,443,true,FRA,Europe,Frankfurt,318,0.05
34.32.207.49,443,443,true,FRA,Europe,Frankfurt,308,0.05
34.141.32.17,443,443,true,FRA,Europe,Frankfurt,300,0.05
34.91.67.64,443,443,true,FRA,Europe,Frankfurt,333,0.05
34.159.30.28,443,443,true,FRA,Europe,Frankfurt,298,0.05
34.91.67.64,443,443,true,FRA,Europe,Frankfurt,314,0.04
34.32.130.206,443,443,true,FRA,Europe,Frankfurt,289,0.04
34.154.15.24,443,443,true,FRA,Europe,Frankfurt,300,0.04
34.107.42.64,443,443,true,FRA,Europe,Frankfurt,296,0.04
34.118.63.12,443,443,true,FRA,Europe,Frankfurt,316,0.04
34.65.249.244,443,443,true,FRA,Europe,Frankfurt,285,0.04
34.118.75.245,443,443,true,FRA,Europe,Frankfurt,296,0.04
34.118.11.220,443,443,true,FRA,Europe,Frankfurt,341,0.04
